linha,2026,2027,2028,2029,2030
FATURAMENTO BRUTO,22755016.76,24293001.68,26016090.96,27666117.18,30380019.39
AH FB,-0.001404,0.067589,0.070929,0.063423,0.098095
(-) IMPOSTOS SOBRE VENDA,3966199.42,4234270.19,4534604.65,4822204.22,5295237.38
% s/FB,0.1743,0.1743,0.1743,0.1743,0.1743
PIS/Cofins,0.0365,0.0365,0.0365,0.0365,0.0365
CSLL,0.0288,0.0288,0.0288,0.0288,0.0288
IR,0.08,0.08,0.08,0.08,0.08
ISS,0.029,0.029,0.029,0.029,0.029
RECEITA LÍQUIDA,18788817.34,20058731.49,21481486.3,22843912.96,25084782.01
AH RL,-0.001526,0.067589,0.070929,0.063423,0.098095
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,,,,,
INCENTIVOS DE PROSPECÇÃO E VENDAS,535754.43,571965.44,612534.63,651383.6,715280.94
Sócios - Prospecção e Vendas,,,,,
Equipe: Prospecção e vendas,,,,,
GASTOS COM PESSOAL,7001417.77,7496996.38,8001049.75,8535286.51,9283430.51
OUTRAS DESPESAS DIRETAS,634680.32,677577.62,725637.83,771660.17,847356.02
,,,,,
10 Entradas Operacionais,,,,,
13c. Despesas com Projetos,,,,,
13b. Custos de Licenças,,,,,
13a. Profissionais sub-contratados,,,,,
MARGEM CONTRIBUIÇÃO I,10616964.83,11312192.05,12142264.09,12885582.68,14238714.55
% Margem s/RL (MC I),0.565068,0.563954,0.565243,0.564071,0.567624
REMUNERAÇÃO DIRETA DOS SÓCIOS,1757955.43,1873071.05,2010514.25,2133592.83,2357644.2
MARGEM CONTRIBUIÇÃO II,8859009.4,9439121.0,10131749.84,10751989.84,11881070.34
% Margem s/RL (MC II),0.471504,0.470574,0.47165,0.470672,0.473637
OUTRAS DESPESAS ADMINISTRATIVAS,2399700.7,2561893.66,2743607.37,2917615.99,3203818.95
Gastos Com Pessoal Não Alocado,1715347.35,1799279.13,1840241.44,1920439.47,1949520.41
12 Impostos Sobre Venda,,,,,
14 Gastos Com Pessoal,,,,,
15 Tecnologia E Comunicação,,,,,
16 Eventos Internos,,,,,
17 Marketing E Vendas,,,,,
18 Consultorias E Assessorias Externas,,,,,
19 Infraestrutura,,,,,
20 Outros Gastos Administrativos,,,,,
22 Impostos Sobre Resultado,,,,,
24 Impostos Retidos Fornecedores,,,,,
RATEIO ADMINISTRATIVO,2231383.0,2260328.0,2304801.0,2295843.0,2370778.0
# Funcionários p/rateio ADM,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES,548961.6,569822.14,589765.92,610407.72,631771.99
HONORÁRIOS ADM SÓCIOS DIRETORES (Rateio),,,,,
EBITDA,3678964.09,4047077.58,4493575.79,4928123.27,5674701.5
AH EBITDA,0.06174,0.100059,0.110326,0.096704,0.151493
Depreciação/Amortização,,,,,
EBIT,3678964.09,4047077.58,4493575.79,4928123.27,5674701.5
Receita Financeira,,,,,
Despesa Financeira,,,,,
LAIR,3678964.09,4047077.58,4493575.79,4928123.27,5674701.5
IRPJ/CSLL,0,0,0,0,0
LUCRO LÍQUIDO,3678964.09,4047077.58,4493575.79,4928123.27,5674701.5

