linha,2018,2019,2020,2021,2022,2023,2024,2025
FATURAMENTO BRUTO,3922921.02,4135753.294,4161018.618,6694897.49,8368977.26,10560809.33,12493232.516,15293573.831
AH FB,,0.05425352,0.006109002,0.608956389,0.250053085,0.261899633,0.182980596,0.224148659
(-) IMPOSTOS SOBRE VENDA,585752.01,592150.51,590087.53,983376.59,1229853.97,1549835.99,1622595.73,1961850.65
% s/FB,0.14931527,0.143178393,0.14181324,0.146884489,0.146953914,0.146753524,0.129877975,0.128279412
PIS,-,-,-,-,-,-,-,0.0365
COFINS,-,-,-,-,-,-,-,0.0288
ISS,-,-,-,-,-,-,-,0.08
RECEITA LÍQUIDA,3337169.01,3543602.78,3570931.09,5711520.9,7139123.29,9010973.34,10870636.78,13331723.18
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,232413.29,305659.67,131740.33,173414.74,429177.56,543605.35,-341215.9,-973686.93
INCENTIVOS DE PROSPECÇÃO E VENDAS,0,0,1659.4,0,34263.45,74459.51,0,55293.24
Sócios - Prospecção e Vendas,0,0,0,0,0,0,0,0
Equipe: Prospecção e vendas,0,0,1659.4,0,34263.45,74459.51,0,55293.24
GASTOS COM PESSOAL,1773614.93,2065653.94,2269641.15,2181139.52,3330545.89,4221706.24,5020283.5,5255775.98
OUTRAS DESPESAS DIRETAS,5370.38,17003.27,-3290.29,4132.53,26888.39,14157.76,142797.24,326077.78
,,,,,,,,
10 Entradas Operacionais,-4702.01,-13169.51,-4070.29,0,-6963.73,0,0,0
13c. Despesas com Projetos,10072.39,30172.78,780.0,2012.53,18715.36,14157.76,12172.24,1344.49
13b. Custos de Licenças,0,0,0,0,15136.76,0,0,0
13a. Profissionais sub-contratados,0,0,0,2120.0,0,0,130625.0,324733.29
MARGEM CONTRIBUIÇÃO I,1790596.99,1766605.25,1434661.16,3699663.58,4176603.13,5244255.19,5366340.14,6720889.25
% Margem s/RL (MC I),0.536561672,0.498533656,0.401761088,0.647754539,0.585030256,0.581985429,0.493654627,0.504127573
REMUNERAÇÃO DIRETA DOS SÓCIOS,402491.7,424328.29,423021.71,480000.0,517032.0,566807.64,566807.64,566807.64
MARGEM CONTRIBUIÇÃO II,1388105.29,1342276.96,1011639.45,3219663.58,3659571.13,4677447.55,4799532.5,6154081.61
% Margem s/RL (MC II),0.415952948,0.378788777,0.283298508,0.563713876,0.512607918,0.519083497,0.441513464,0.461611866
OUTRAS DESPESAS ADMINISTRATIVAS,72777.1,103688.99,154640.42,185871.9,103104.6,125713.16,104659.73,173047.94
Gastos Com Pessoal Não Alocado,0,0,0,0,0,0,0,0
12 Impostos Sobre Venda,0,0,0,0,0,0,0,0
14 Gastos Com Pessoal,11359.42,46834.66,11187.32,97963.84,21530.43,44453.49,58851.1,85708.5
15 Tecnologia E Comunicação,60716.45,23443.47,105985.02,85940.77,75601.64,73903.3,45046.82,59813.34
16 Eventos Internos,0,0,0,0,0,45.98,0,19445.61
17 Marketing E Vendas,0,0,0,600.0,5085.27,3250.5,716.81,2599.24
18 Consultorias E Assessorias Externas,0,0,0,0,250.0,0,0,5481.25
19 Infraestrutura,0,100.01,684.0,0,0,0,45.0,0
20 Outros Gastos Administrativos,701.23,33310.85,36784.08,1367.29,637.26,4059.89,0,0
22 Impostos Sobre Resultado,0,0,0,0,0,0,0,0
24 Impostos Retidos Fornecedores,0,0,0,0,0,0,0,0
RATEIO ADMINISTRATIVO,548216.69,520278.5,337639.19,659130.13,1105608.16,1344613.81,1659712.44,2001921.13
# Funcionários p/rateio ADM,,,,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES,143593.66,185429.51,200949.69,153947.21,240000.0,258000.0,264000.0,264000.0
HONORÁRIOS ADM SÓCIOS DIRETORES (Rateio),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
EBITDA,623517.84,532879.96,318410.15,2220714.34,2210858.36,2952104.24,2771160.33,3715112.54
Depreciação/Amortização,,,,,126000.0,168000.0,163000.0,167096.98
EBIT,,,,,2084858.36,2784104.24,2608160.33,3548015.56
Receita Financeira,,,,,93000.0,109000.0,50000.0,84000.0
Despesa Financeira,,,,,43000.0,72000.0,55000.0,56666.67
LAIR,,,,,2134858.36,2821104.24,2603160.33,3575348.89
IRPJ/CSLL,,,,,725851.84,959175.44,885074.51,1215618.62
LUCRO LÍQUIDO,,,,,1409006.52,1861928.8,1718085.81,2359730.27
PARTICIPAÇÃO NO RESULTADO - SOCIOS,,,,,,30,31,19
# Funcionários - Média,15.833333,15.666667,14.333333,14.666667,22.916667,29.333333,38.0,32.833333
D&A CONSOLIDADA,,,,,126000.0,168000.0,163000.0,167096.98
RATIO D&A / FUNC,,,,,0.000181746,0.000174603,0.000233129,0.000196493
