linha,2018,2019,2020,2021,2022,2023,2024,2025
FATURAMENTO BRUTO,12572568.8,13120312.12,9579555.22,13500779.15,17311108.13,24896165.29,24571136.45,22787020.44
AH FB,,0.04356654,-0.269868344,0.409332567,0.282230302,0.438161272,-0.013055378,-0.072610236
(-) IMPOSTOS SOBRE VENDA,2440111.725,2295033.143,1632354.041,2337700.001,2990274.34,4312707.267,4255419.945,3969487.035
% s/FB,0.194082193,0.174922145,0.170399774,0.17315297,0.172737315,0.173227773,0.173187754,0.174
PIS/Cofins,-,-,-,-,-,-,-,-
CSLL,-,-,-,-,-,-,-,-
IR,-,-,-,-,-,-,-,-
ISS,-,-,-,-,-,-,-,-
RECEITA LÍQUIDA,10132457.07,10825278.98,7947201.179,11163079.15,14320833.79,20583458.02,20315716.51,18817533.41
AH RL,,0.068376496,-0.265866386,0.404655412,0.282874877,0.437308632,-0.013007606,-0.073745029
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,-163954.4193,-305659.675,553565.7437,-110391.325,-57659.32041,-71932.91515,5870.636559,827994.9073
INCENTIVOS DE PROSPECÇÃO E VENDAS,214990.9264,224357.3373,167709.1932,354298.049,511965.2498,710481.1011,501201.6697,495952.6959
Sócios - Prospecção e Vendas,214990.9264,224357.3373,167709.1932,354298.049,500538.7098,625326.0411,482781.8197,467936.7159
Equipe: Prospecção e vendas,0,0,0,0,11426.54,85155.06,18419.85,28015.98
GASTOS COM PESSOAL,3284130.117,3580850.17,2846355.61,3836715.784,5804566.192,6674994.861,5938797.225,6800730.592
OUTRAS DESPESAS DIRETAS,433549.31,389295.39,18194.86,289667.71,461216.97,672356.5,775398.9,574061.17
10 Entradas Operacionais,-303705.8,-401054.61,-347217.77,-592.2,-65827.24,-35040.28,-53240.73,-58677.04
13c. Despesas com Projetos,737255.11,790350,170653.18,78788.28,198952.75,256708.42,372712.82,242303.97
13b. Custos de Licenças,0,0,0,0,0,0,0,0
13a. Profissionais sub-contratados,0,0,194759.45,211471.63,328091.46,450688.36,455926.81,390434.24
MARGEM CONTRIBUIÇÃO I,6035832.297,6325116.405,5468507.259,6572006.282,7485426.058,12453692.65,13106189.35,11774783.85
% Margem s/RL,0.595692857,0.584291307,0.688104798,0.588727016,0.522694849,0.605034034,0.645125627,0.625734712
REMUNERAÇÃO DIRETA DOS SÓCIOS,1074954.632,1121786.686,819051.9713,1154316.617,1480099.745,2071558.139,2265297.243,1855198.204
MARGEM CONTRIBUIÇÃO II,4960877.665,5203329.719,4649455.288,5417689.664,6005326.313,10382134.51,10840892.1,9919585.651
% Margem s/RL,0.489602633,0.480664723,0.585043109,0.485322158,0.419341946,0.504392143,0.533620958,0.527145904
OUTRAS DESPESAS ADMINISTRATIVAS,1311248.567,1056968.029,2261913.326,1493400.343,1358078.952,1905060.244,2588684.81,3070704.081
Gastos Com Pessoal Não Alocado,1143588.137,827778.7494,2113473.796,1342917.153,1283553.112,1507025.88,2311724.556,2274071.303
12 Impostos Sobre Venda,0,0,0,0,0,0,0,0
14 Gastos Com Pessoal,82676.06,112105.34,113752.59,81118.65,49705.41,346795.175,212338.3741,437500.7278
15 Tecnologia E Comunicação,8863.84,78003.08,3619.76,46317.04,14491.4,18879.29,0,2509.93
16 Eventos Internos,0,487.97,2903.25,0,0,11006.25,12883.2,137142.53
17 Marketing E Vendas,4014.1,20467.52,830,863.75,0,7593.29,31470.15,36717.62
18 Consultorias E Assessorias Externas,67529.44,0,0,0,0,0,0,167786.27
19 Infraestrutura,2500,210,49.9,0,1117.03,0,0,0
20 Outros Gastos Administrativos,2076.99,17915.37,27284.03,22183.75,9212,13760.35944,20268.53,10735
22 Impostos Sobre Resultado,0,0,0,0,0,0,0,0
24 Impostos Retidos Fornecedores,0,0,0,0,0,0,0,4240.7
RATEIO ADMINISTRATIVO,1050802.219,989583.4545,788571.2269,1398813.538,1749814.244,2158798.336,2485974.626,2855849.246
# Funcionários p/rateio ADM,,,,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES,394882.574,486752.4637,531071.4254,423354.8228,480000,516000,528000,528000
HONORÁRIOS ADM SÓCIOS DIRETORES (Rateio),6.6,6.3,6.35,6.6,4.8,4.8,4.8,
EBITDA,2203944.306,2670025.771,1067899.31,2102120.961,2417433.117,5806597.092,5238232.668,3465032.325
AH RL,,0.211476063,-0.600041572,0.968463637,0.149997152,1.401968043,-0.097882532,-0.338511184
Depreciação/Amortização,,,,,,,,
EBIT,,,,,,,,
Receita Financeira,,,,,,,,
Despesa Financeira,,,,,,,,
LAIR,,,,,,,,
IRPJ/CSLL,,,,,,,,4.8
LUCRO LÍQUIDO,,,,,,,,

