linha,2018,2019,2020,2021,2022,2023,2024,2025
FATURAMENTO BRUTO,1242330.38,1187457.1,1468030.89,1228515.22,2054722.52,2123005.94,2443399.35,3385238.39
AH FB,,-0.044169635,0.236281201,-0.16315438,0.672525083,0.033232429,0.150914985,0.38546259
(-) IMPOSTOS SOBRE VENDA,242627.12,231910.37,286706.43,239714.83,401287.31,410782.97,451410.76,608218.87
% s/FB,0.1953,0.1953,0.1953,0.195125647,0.1953,0.193491201,0.184747026,0.179667957
PIS/Cofins,-,-,-,-,-,-,-,-
CSLL,-,-,-,-,-,-,-,-
IR,-,-,-,-,-,-,-,-
ISS,-,-,-,-,-,-,-,-
RECEITA LÍQUIDA,999703.26,955546.73,1181324.46,988800.39,1653435.21,1712222.97,1991988.59,2777019.53
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,0,0,0,0,288351.0,313272.0,283498.0,280000.0
INCENTIVOS DE PROSPECÇÃO E VENDAS,0,0,0,-462.2,2464.84,0,0,42687.2
Sócios - Prospecção e Vendas,0,0,0,-462.2,0,0,0,0
Equipe: Prospecção e vendas,0,0,0,0,2464.84,0,0,42687.2
GASTOS COM PESSOAL,153427.14,154441.05,114127.76,129218.52,150177.61,210486.68,263375.9,305489.82
OUTRAS DESPESAS DIRETAS,0,0,355137.48,0,0,0,0,0
% s/RL,0,0,0.300626536,0,0,0,0,0
10 Entradas Operacionais,0,0,0,0,0,0,0,0
13c. Despesas com Projetos,0,0,0,0,0,0,0,0
13b. Custos de Licenças,0,0,355137.48,0,0,0,0,0
13a. Profissionais sub-contratados,0,0,0,0,0,0,0,0
MARGEM CONTRIBUIÇÃO I,846276.11,801105.67,712059.21,860044.07,1789143.76,1815008.29,2012110.69,2708842.51
% Margem s/RL (MC I),0.846527313,0.838374148,0.602763457,0.869785322,1.082076726,1.060030338,1.010101515,0.975449572
REMUNERAÇÃO DIRETA DOS SÓCIOS,63731.55,60916.55,75309.98,63022.83,101679.36,117975.54,130787.19,176074.76
MARGEM CONTRIBUIÇÃO II,782544.56,740189.12,636749.23,797021.24,1687464.4,1697032.75,1881323.49,2532767.74
% Margem s/RL (MC II),0.782776847,0.774623682,0.539012991,0.806048666,1.020580905,0.991128366,0.944444916,0.91204535
OUTRAS DESPESAS ADMINISTRATIVAS,17367.86,239.21,5892.8,34924.29,11987.08,20175.45,20606.9,16131.42
Gastos Com Pessoal Não Alocado,0,0,0,0,0,0,0,0
12 Impostos Sobre Venda,0,0,0,0,0,0,0,0
14 Gastos Com Pessoal,17066.06,145.16,4104.76,27641.4,11349.7,9060.79,7616.4,6259.23
15 Tecnologia E Comunicação,0,0,1600.0,0,0,0,0,967.0
16 Eventos Internos,0,94.05,0,0,0,487.13,295.5,350.86
17 Marketing E Vendas,0,0,0,0,637.38,10627.53,12695.0,8436.88
18 Consultorias E Assessorias Externas,0,0,0,0,0,0,0,117.45
19 Infraestrutura,0,0,0,0,0,0,0,0
20 Outros Gastos Administrativos,301.8,0,188.04,7282.89,0,0,0,0
22 Impostos Sobre Resultado,0,0,0,0,0,0,0,0
24 Impostos Retidos Fornecedores,0,0,0,0,0,0,0,0
RATEIO ADMINISTRATIVO,59966.35,88685.45,48196.93,87547.02,95084.95,96804.08,109310.04,126512.48
# Funcionários p/rateio ADM,,,,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES,35898.42,46357.38,50237.42,38486.8,60000.0,64500.0,66000.0,66000.0
HONORÁRIOS ADM SÓCIOS DIRETORES (Rateio),0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
EBITDA,669311.94,604907.09,532422.08,636063.12,1520392.37,1515758.997,1685406.55,2324123.85
Depreciação/Amortização,,,,,,,,
EBIT,,,,,,,,
Receita Financeira,,,,,,,,
Despesa Financeira,,,,,,,,
LAIR,,,,,,,,
IRPJ/CSLL,,,,,,,,
LUCRO LÍQUIDO,,,,,,,,
# Funcionários - Média,1.583333333,2.583333333,2.0,2.0,2.0,2.583333333,3.0,3.0
