ano,func_fopm,func_renovacao,func_ams,func_venda_sw,func_data_science,rateio_pool
2018,30.5,1.583333,15.833333,1,0,-1693564.53
2019,30.333,2.583333,15.666667,1,0,-1752800.25
2020,32.167,2,14.333333,1,0,-1349453.59
2021,31.833,2,14.666667,1,0,-2189264.21
2022,37.083,2,22.916667,1,0,-3079822.9
2023,43.083,2.583333,29.333333,1,0,-3728358.62
2024,45.667,3,38,1,0,-4309652.13
2025,45.333,3,32.833333,1,0,-5047539.09
2026,46,3,53.186095,1,5,
2027,47,3,54.269127,1,8,
2028,48,3,55.417624,1,10,
2029,49,3,56.543111,1,15,
2030,51,3,57.922822,1,17,
