linha,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
FATURAMENTO BRUTO,19683091.465,22090099.494,24891428.635,27420518.27,37105508.75,40812311.14,45743848.966,49188443.092,55705600.213,60689069.838,66021044.584,71512336.16,79942891.75
(-) IMPOSTOS SOBRE VENDA,3613604.575,3768593.813,4276854.993,4669231.561,6363117.552,6859784.279,7451744.674,7908408.496,8766257.087,9579096.236,10451612.159,11349595.228,12751856.356
% s/FB,0.183589279,0.170601034,0.171820391,0.170282396,0.171487139,0.16808125,0.162901567,0.160777776,-,-,0,-,-
RECEITA LÍQUIDA,16069486.89,18321505.681,20614573.642,22751286.709,30742391.198,33952526.86,38292104.292,41280034.596,46939343.126,51109973.601,55569432.424,60162740.932,67191035.394
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,68458.87,0,292767.76,75538.61,371518.24,471672.44,-335345.26,-145692.02,-,-,-,-,-
INCENTIVOS DE PROSPECÇÃO E VENDAS,216138.54,239825.34,209676.94,422676.0,572534.25,825712.42,678508.31,761943.5,596938.8,667385.52,744812.32,823294.98,965511.71
Sócios - Prospecção e Vendas,216138.54,239825.34,206996.54,353835.85,500538.71,625326.04,482781.82,467936.72,-,-,-,-,-
Equipe: Prospecção e vendas,0,0,2680.4,68840.15,71995.54,200386.38,195726.49,294006.78,-,-,-,-,-
GASTOS COM PESSOAL,5376053.563,6351628.619,6423080.764,6334265.611,9480066.431,11294791.428,11380425.622,12531389.434,16384082.176,17986316.565,19490873.826,21617947.426,23574124.666
OUTRAS DESPESAS DIRETAS,1095535.08,1168255.44,1198761.61,1153265.84,1303603.69,1105309.69,2111886.62,1788268.25,2287202.286,2494605.464,2715271.85,2946782.521,3265986.959
% s/RL,0.068174864,0.063764161,0.058151172,0.050690137,0.042404108,0.032554563,0.055152013,0.043320415,-,-,-,-,-
10 Entradas Operacionais,-311407.75,-423152.16,-386522.84,-151925.61,-357649.53,-409929.8,-93632.68,-435052.12,-,-,-,-,-
13c. Despesas com Projetos,799150.03,895338.03,179591.51,80800.81,218954.13,270866.18,384885.06,243648.46,-,-,-,-,-
13b. Custos de Licenças,571717.8,690470.4,1181699.5,1009270.99,1114207.63,752250.73,1107759.05,1172937.78,-,-,-,-,-
13a. Profissionais sub-contratados,36075.0,5599.17,223993.44,215119.65,328091.46,492122.58,712875.19,806734.13,-,-,-,-,-
MARGEM CONTRIBUIÇÃO I,9450218.573,10561796.279,13075822.088,14916617.87,19757705.064,21198385.76,23785938.48,26052741.396,27878499.948,30155019.544,32797186.2,34937614.706,39531232.649
% Margem s/RL (MC I),0.163691024,0.840522246,0.115772482,0.113788492,0.106227474,0.130026001,0.124564859,0.099723886,-,-,-,-,-
