linha,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
FATURAMENTO BRUTO,1213477.31,2066219.27,6496368.7,5996326.41,9104543.45,3232330.58,6101080.65,7722610.43,8376715.53,9071982.92,9797741.55,10581560.88,11428085.75
AH FB,,0.702726,2.144085,-0.076973,0.518354,-0.644976,0.887518,0.265777,0.0847,0.083,0.08,0.08,0.08
(-) IMPOSTOS S/ VENDA,202194.36,360492.83,1195603.2,1108440.14,1689721.4,586458.06,1098787.73,1368851.94,1460061.52,1581246.62,1707746.35,1844366.06,1991915.35
% s/FB,0.166624,0.17447,0.184042,0.184853,0.185591,0.181435,0.180097,0.177252,0.1743,0.1743,0.1743,0.1743,0.1743
PIS/Cofins,-,-,-,-,-,-,-,-,0.0365,0.0365,0.0365,0.0365,0.0365
CSLL,-,-,-,-,-,-,-,-,0.0288,0.0288,0.0288,0.0288,0.0288
IR,-,-,-,-,-,-,-,-,0.08,0.08,0.08,0.08,0.08
ISS,-,-,-,-,-,-,-,-,0.029,0.029,0.029,0.029,0.029
RECEITA LÍQUIDA,1011282.95,1705726.44,5300765.5,4887886.27,7414822.05,2645872.52,5002292.92,6353758.49,6916654.01,7490736.3,8089995.2,8737194.82,9436170.4
RECLASS. RECEITAS E DESP.,0,0,0,0,-288351.0,-313272.0,-283498.0,-280000.0,,,,,
INCENT. PROSPECÇÃO E VENDAS,0,0,1021.0,68840.15,23840.71,40771.81,157306.64,168010.36,168995.0,183021.58,197663.31,213476.38,230554.49
Sócios - Prosp. e Vendas,0,0,0,0,0,0,0,0,,,,,
Equipe: Prosp. e Vendas,0,0,1021.0,68840.15,23840.71,40771.81,157306.64,168010.36,,,,,
GASTOS C/ PESSOAL,164881.37,171882.12,177013.14,174676.58,194776.74,187603.65,157969.0,169393.04,177811.88,186346.85,194732.45,203495.41,212652.71
OUTRAS DESP. DIRETAS,577292.76,694610.94,826562.02,1009270.99,1099070.87,752250.73,1107759.05,1172937.78,1276851.3,1382829.96,1493456.36,1612932.87,1741967.5
% s/RL,0.570852,0.407223,0.155933,0.206484,0.148226,0.284311,0.22145,0.184605,0.184605,0.184605,0.184605,0.184605,0.184605
10 Entradas Operac.,0,0,0,0,0,0,0,0,,,,,
13c. Desp. c/ Projetos,5574.96,4140.54,0,0,0,0,0,0,,,,,
13b. Custos Licenças,571717.8,690470.4,826562.02,1009270.99,1099070.87,752250.73,1107759.05,1172937.78,1384494.58,1499407.63,1619360.24,1748909.05,1888821.78
13a. Prof. sub-contrat.,0,0,0,0,0,0,0,0,,,,,
MARGEM CONTRIB. I,269108.83,839233.38,4296169.34,3635098.55,5808782.73,1351974.33,3295760.23,4563417.31,5292995.84,5738537.91,6204143.08,6707290.16,7250995.71
% Margem s/RL (MC I),0.266106,0.492009,0.810481,0.743695,0.783402,0.510975,0.65885,0.718223,0.765254,0.766085,0.766891,0.767671,0.768426
REMUN. DIRETA SÓCIOS,0,0,0,0,0,0,0,0,,,,,
MARGEM CONTRIB. II,269108.83,839233.38,4296169.34,3635098.55,5808782.73,1351974.33,3295760.23,4563417.31,5292995.84,5738537.91,6204143.08,6707290.16,7250995.71
