linha,2018,2019,2020,2021,2022,2023,2024,2025
FATURAMENTO BRUTO,664681.96,675796.0,888949.84,0,266157.39,0,0,0
(-) IMPOSTOS SOBRE VENDA,129812.39,131504.56,173611.9,0,51980.54,0,0,0
% s/FB,0.1953,0.194592,0.1953,0,0.1953,0,0,0
PIS/Cofins,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365
CSLL,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288
IR,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
ISS,0.029,0.029,0.029,0.029,0.029,0.029,0.029,0.029
RECEITA LÍQUIDA,534869.57,544291.44,715337.94,0,214176.85,0,0,0
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,0,0,0,0,0,0,0,0
INCENTIVOS DE PROSPECÇÃO E VENDAS,0,0,0,0,0,0,20000.0,0
Sócios - Prospecção e Vendas,0,0,0,0,0,0,0,0
Equipe: Prospecção e vendas,0,0,0,0,0,0,20000.0,0
GASTOS COM PESSOAL,0,0,0,0,0,0,0,0
OUTRAS DESPESAS DIRETAS,38519.69,32242.21,-32158.6,-150029.79,-283572.54,-371969.38,-40391.95,-376375.08
% s/RL,0.072017,0.059237,-0.044956,0,-1.324011,0,0,0
10 Entradas Operacionais,-2999.94,-8637.24,-35234.78,-151333.41,-284858.56,-374889.52,-40391.95,-376375.08
13c. Despesas com Projetos,5444.63,40879.45,2178.74,0,1286.02,0,0,0
13b. Custos de Licenças,0,0,0,0,0,0,0,0
13a. Profissionais sub-contratados,36075.0,0,897.44,1303.62,0,2920.14,0,0
MARGEM CONTRIBUIÇÃO I,496349.88,512049.23,747496.54,150029.79,497749.39,371969.38,20391.95,376375.08
% Margem s/RL (MC I),0.927983,0.940763,1.044956,0,2.324011,0,0,0
REMUNERAÇÃO DIRETA DOS SÓCIOS,0,0,0,0,0,0,0,0
MARGEM CONTRIBUIÇÃO II,496349.88,512049.23,747496.54,150029.79,497749.39,371969.38,20391.95,376375.08
% Margem s/RL (MC II),0.927983,0.940763,1.044956,0,2.324011,0,0,0
OUTRAS DESPESAS ADMINISTRATIVAS,2189914.42,2264849.48,2096950.12,2339293.996,3577572.29,4100328.0,4330044.08,5423914.17
Gastos Com Pessoal Não Alocado,498623.06,512815.06,627769.37,643218.68,761346.27,1061676.19,1600736.28,1514348.59
12 Impostos Sobre Venda,0,0,0,0,0,0,0,0
14 Gastos Com Pessoal,135635.39,245333.96,133271.13,127548.78,224396.61,185897.955,192309.25,191521.22
15 Tecnologia E Comunicação,170552.69,172104.16,226459.77,273040.5,437593.41,441674.17,546415.83,665558.21
16 Eventos Internos,194436.71,171970.34,153262.55,88552.45,783399.87,538785.87,506366.98,704006.57
17 Marketing E Vendas,127592.31,410891.51,284119.38,366429.8,365298.86,579137.24,194948.48,725539.52
18 Consultorias E Assessorias Externas,185007.94,212247.55,251610.7,282462.98,393207.39,579663.41,542901.77,852952.54
19 Infraestrutura,490064.5,347847.48,308023.25,336353.41,426065.99,405503.01,443808.36,469720.31
20 Outros Gastos Administrativos,388001.82,191639.42,112433.97,221687.4,186263.89,238507.29,220561.76,204303.94
22 Impostos Sobre Resultado,0,0,0,0,0,0,0,0
24 Impostos Retidos Fornecedores,0,0,0,0,0,69482.87,81995.37,95963.27
RATEIO ADMINISTRATIVO,-1693564.53,-1752800.25,-1349453.59,-2189264.21,-3079822.9,-3728358.62,-4309652.13,-5047539.09
# Funcionários p/rateio ADM,,,,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES,717968.32,927147.55,1004748.44,769736.04,1200000.0,1290000.0,1320000.0,1320000.0
HONORÁRIOS ADM SÓCIOS DIRETORES (Rateio),-717968.32,-927147.55,-1004748.44,-769736.04,-1200000.0,-1290000.0,-1188000.0,-1188000.0
EBITDA,8.73,-5.09,0,0,1.16,0,-132000.0,-132000.0
Depreciação/Amortização,,,,,,,,
EBIT,,,,,,,,
Receita Financeira,,,,,,,,
Despesa Financeira,,,,,,,,
LAIR,,,,,,,,
IRPJ/CSLL,,,,,,,,
LUCRO LÍQUIDO,,,,,,,,
# Funcionários - Média,7.083333,7.75,9.416667,9.583333,9.083333,10.5,12.0,11.666667
RATEIO TOTAL,,,,,,-3728358.62,-4309652.13,-5047539.09
FOMP BR rateio,,,,,,-2113554.18,-2244951.87,-2784849.16
FOMP BR n_func,30.5,30.333,32.167,31.833,37.083,43.083,45.667,45.333
RENOVAÇÃO rateio,,,,,,-126731.49,-147478.59,-184291.49
RENOVAÇÃO n_func,1.583,2.583,2.0,2.0,2.0,2.583,3.0,3.0
AMS rateio,,,,,,-1439015.61,-1868062.14,-2016967.95
AMS n_func,15.833,15.667,14.333,14.667,22.917,29.333,38.0,32.833
VENDA SOFTWARES rateio,,,,,,-49057.35,-49159.53,-61430.5
VENDA SOFTWARES n_func,1,1,1,1,1,1,1,1
DATA SCIENCE rateio,0,0,0,0,0,0,0,0
DATA SCIENCE n_func,0,0,0,0,0,0,0,0
TOTAL FUNCIONÁRIOS operacional,48.917,49.583,49.5,49.5,63.0,76.0,87.667,82.167
TOTAL FUNCIONÁRIOS + ADM,56.0,57.333,58.917,59.083,72.083,86.5,99.667,93.833
