linha,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
FATURAMENTO BRUTO,3922921.02,4135753.29,4161018.62,6694897.49,8368977.26,10560809.33,12493232.52,15293573.83,18386530.79,19473852.56,20581986.58,21734989.57,23044633.06
AH FB,,0.054254,0.006109,0.608956,0.250053,0.2619,0.182981,0.224149,0.202239,0.059137,0.056904,0.05602,0.060255
(-) IMPOSTOS SOBRE VENDA,585752.01,592150.51,590087.53,983376.59,1229853.97,1549835.99,1622595.73,1961850.65,2261543.29,2395283.86,2531584.35,2673403.72,2834489.87
% s/FB,0.149315,0.143178,0.141813,0.146884,0.146954,0.146754,0.129878,0.128279,0.123,0.123,0.123,0.123,0.123
PIS,-,-,-,-,-,-,-,0.0365,0.017,0.017,0.017,0.017,0.017
COFINS,-,-,-,-,-,-,-,0.0288,0.077,0.077,0.077,0.077,0.077
ISS,-,-,-,-,-,-,-,0.08,0.029,0.029,0.029,0.029,0.029
RECEITA LÍQUIDA,3337169.01,3543602.78,3570931.09,5711520.9,7139123.29,9010973.34,10870636.78,13331723.18,16124987.51,17078568.7,18050402.23,19061585.85,20210143.19
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,232413.29,305659.67,131740.33,173414.74,429177.56,543605.35,-341215.9,-973686.93,,,,,
INCENTIVOS DE PROSPECÇÃO E VENDAS,0,0,1659.4,0,34263.45,74459.51,0,55293.24,,,,,
Sócios - Prospecção e Vendas,0,0,0,0,0,0,0,0,,,,,
Equipe: Prospecção e vendas,0,0,1659.4,0,34263.45,74459.51,0,55293.24,,,,,
GASTOS COM PESSOAL,1773614.93,2065653.94,2269641.15,2181139.52,3330545.89,4221706.24,5020283.5,5255775.98,8115906.28,8678667.24,9261138.74,9874440.03,10570579.05
OUTRAS DESPESAS DIRETAS,5370.38,17003.27,-3290.29,4132.53,26888.39,14157.76,142797.24,326077.78,303108.15,321033.01,339300.98,358308.62,379898.53
,,,,,,,,,,,,,
10 Entradas Operacionais,-4702.01,-13169.51,-4070.29,0,-6963.73,0,0,0,,,,,
13c. Despesas com Projetos,10072.39,30172.78,780.0,2012.53,18715.36,14157.76,12172.24,1344.49,,,,,
13b. Custos de Licenças,0,0,0,0,15136.76,0,0,0,,,,,
13a. Profissionais sub-contratados,0,0,0,2120.0,0,0,130625.0,324733.29,,,,,
MARGEM CONTRIBUIÇÃO I,1790596.99,1766605.25,1434661.16,3699663.58,4176603.13,5244255.19,5366340.14,6720889.25,7705973.07,8078868.44,8449962.51,8828837.2,9259665.61
% Margem s/RL (MC I),0.536562,0.498534,0.401761,0.647755,0.58503,0.581985,0.493655,0.504128,0.47789,0.473041,0.468132,0.463174,0.458169
REMUNERAÇÃO DIRETA DOS SÓCIOS,402491.7,424328.29,423021.71,480000.0,517032.0,566807.64,566807.64,566807.64,851196.59,892386.36,933377.16,975227.41,1022816.42
MARGEM CONTRIBUIÇÃO II,1388105.29,1342276.96,1011639.45,3219663.58,3659571.13,4677447.55,4799532.5,6154081.61,6854776.48,7186482.08,7516585.35,7853609.79,8236849.18
% Margem s/RL (MC II),0.415953,0.378789,0.283299,0.563714,0.512608,0.519083,0.441513,0.461612,0.425103,0.420789,0.416422,0.412012,0.40756
OUTRAS DESPESAS ADMINISTRATIVAS,72777.1,103688.99,154640.42,185871.9,103104.6,125713.16,104659.73,173047.94,196504.62,208125.29,219968.39,232291.02,246287.73
Gastos Com Pessoal Não Alocado,0,0,0,0,0,0,0,0,,,,,
12 Impostos Sobre Venda,0,0,0,0,0,0,0,0,,,,,
14 Gastos Com Pessoal,11359.42,46834.66,11187.32,97963.84,21530.43,44453.49,58851.1,85708.5,,,,,
15 Tecnologia E Comunicação,60716.45,23443.47,105985.02,85940.77,75601.64,73903.3,45046.82,59813.34,,,,,
16 Eventos Internos,0,0,0,0,0,45.98,0,19445.61,,,,,
17 Marketing E Vendas,0,0,0,600.0,5085.27,3250.5,716.81,2599.24,,,,,
18 Consultorias E Assessorias Externas,0,0,0,0,250.0,0,0,5481.25,,,,,
19 Infraestrutura,0,100.01,684.0,0,0,0,45.0,0,,,,,
20 Outros Gastos Administrativos,701.23,33310.85,36784.08,1367.29,637.26,4059.89,0,0,,,,,
22 Impostos Sobre Resultado,0,0,0,0,0,0,0,0,,,,,
24 Impostos Retidos Fornecedores,0,0,0,0,0,0,0,0,,,,,
RATEIO ADMINISTRATIVO,548216.69,520278.5,337639.19,659130.13,1105608.16,1344613.81,1659712.44,2001921.13,2579968.46,2609915.06,2660970.46,2649267.29,2692591.09
# Funcionários p/rateio ADM,,,,,,,,,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES,143593.66,185429.51,200949.69,153947.21,240000.0,258000.0,264000.0,264000.0,256500.0,260625.0,261281.25,260601.56,259751.95
HONORÁRIOS ADM SÓCIOS DIRETORES (Rateio),2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,,,,,
EBITDA,623517.84,532879.96,318410.15,2220714.34,2210858.36,2952104.24,2771160.33,3715112.54,3821803.39,4107816.73,4374365.25,4711449.92,5038218.41
Depreciação/Amortização,,,,,126000.0,168000.0,163000.0,167096.98,270677.24,276189.05,282034.04,287761.92,294783.61
EBIT,,,,,2084858.36,2784104.24,2608160.33,3548015.56,3551126.16,3831627.68,4092331.21,4423688.0,4743434.8
Receita Financeira,,,,,93000.0,109000.0,50000.0,84000.0,81000.0,71666.67,78888.89,77185.19,75913.58
Despesa Financeira,,,,,43000.0,72000.0,55000.0,56666.67,56666.67,56666.67,56666.67,56666.67,56666.67
LAIR,,,,,2134858.36,2821104.24,2603160.33,3575348.89,3575459.49,3846627.68,4114553.43,4444206.52,4762681.72
