linha,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
FATURAMENTO BRUTO,67112.0,904561.71,2297505.37,0,0,0,135000.0,0,2600000.0,4054830.0,5621075.67,7305290.47,10633434.7
AH FB,,,,,,,,,,0.55955,0.386267,0.299625,0.45558
(-) IMPOSTOS SOBRE VENDA,13106.98,157502.4,398491.88,0,0,0,23530.5,0,453180.0,706756.87,979753.49,1273312.13,1853407.67
% s/FB,0.1953,0.17412,0.173445,-,-,-,0.1743,-,0.1743,0.1743,0.1743,0.1743,0.1743
PIS/Cofins,-,-,-,-,-,-,-,-,0.0365,0.0365,0.0365,0.0365,0.0365
CSLL,-,-,-,-,-,-,-,-,0.0288,0.0288,0.0288,0.0288,0.0288
IR,-,-,-,-,-,-,-,-,0.08,0.08,0.08,0.08,0.08
ISS,-,-,-,-,-,-,-,-,0.029,0.029,0.029,0.029,0.029
RECEITA LÍQUIDA,54005.02,747059.31,1899013.49,0,0,0,111469.5,0,2146820.0,3348073.13,4641322.18,6031978.34,8780027.03
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,0,0,-392538.32,12515.2,0,0,0,0,0,,,,
INCENTIVOS DE PROSPECÇÃO E VENDAS,1147.62,15468.01,39287.34,0,0,0,0,0,61184.37,95420.08,132277.68,171911.38,250230.77
Sócios - Prospecção e Vendas,1147.62,15468.01,39287.34,0,0,0,0,0,,,,,
Equipe: Prospecção e vendas,0,0,0,0,0,0,0,0,,,,,
GASTOS COM PESSOAL,0,378801.34,1015943.11,12515.2,0,0,0,0,768273.59,1288241.15,1682765.0,2637734.14,3123956.47
OUTRAS DESPESAS DIRETAS,40802.94,35103.63,34316.14,224.4,0,38514.08,126323.38,91566.6,72562.52,113164.87,156876.69,203880.87,296764.91
% s/RL,0.75554,0.046989,0.018071,-,-,-,1.133255,-,0.0338,0.0338,0.0338,0.0338,0.0338
10 Entradas Operacionais,0,-290.8,0,0,0,0,0,0,,,,,
13c. Despesas com Projetos,40802.94,29795.26,5979.59,0,0,0,0,0,,,,,
13b. Custos de Licenças,0,0,0,0,0,0,0,0,,,,,
13a. Profissionais sub-contratados,0,5599.17,28336.55,224.4,0,38514.08,126323.38,91566.6,,,,,
MARGEM CONTRIBUIÇÃO I,12054.47,317686.34,416928.58,-224.4,0,-38514.08,-14853.88,-91566.6,1244799.53,1851247.03,2669402.81,3018451.95,5109074.88
% Margem s/RL (MC I),0.22321,0.425249,0.21955,-,-,-,-0.133255,-,0.579834,0.552929,0.575138,0.500408,0.581897
REMUNERAÇÃO DIRETA DOS SÓCIOS,5738.08,77340.03,196436.71,0,0,0,0,0,206138.8,306566.51,442053.1,499855.64,846062.8
MARGEM CONTRIBUIÇÃO II,6316.39,240346.31,220491.87,-224.4,0,-38514.08,-14853.88,-91566.6,1038660.73,1544680.52,2227349.7,2518596.3,4263012.08
% Margem s/RL (MC II),0.116959,0.321723,0.116109,-,-,-,-0.133255,-,0.483814,0.461364,0.479896,0.417541,0.485535
OUTRAS DESPESAS ADMINISTRATIVAS,18269.17,128552.01,-95102.71,379332.29,0,0,0,494272.67,274148.91,427548.94,592696.84,770283.63,1121209.45
Gastos Com Pessoal Não Alocado,0,78952.23,-277452.77,350759.24,0,0,0,377602.63,,,,,
12 Impostos Sobre Venda,0,0,0,0,0,0,0,0,,,,,
14 Gastos Com Pessoal,0,8948.41,116719.64,134.16,0,0,0,5101.73,,,,,
15 Tecnologia E Comunicação,110.42,638.4,58534.22,28438.89,0,0,0,64001.9,,,,,
16 Eventos Internos,5104.89,2999.0,0,0,0,0,0,1268.7,,,,,
17 Marketing E Vendas,7866.59,20225.92,3000.0,0,0,0,0,19178.72,,,,,
18 Consultorias E Assessorias Externas,0,0,0,0,0,0,0,0,,,,,
19 Infraestrutura,0,5938.89,1.24,0,0,0,0,0,,,,,
20 Outros Gastos Administrativos,5187.27,10849.16,4094.96,0,0,0,0,27118.99,,,,,
22 Impostos Sobre Resultado,0,0,0,0,0,0,0,0,,,,,
24 Impostos Retidos Fornecedores,0,0,0,0,0,0,0,0,,,,,
RATEIO ADMINISTRATIVO,0,121358.52,150947.77,0,0,0,0,0,242541.63,384736.62,480166.82,702809.04,790259.3
# Funcionários p/rateio ADM,,,,,,,,,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES,0,23178.69,21540.22,0,0,0,0,0,,,,,
HONORÁRIOS ADM SÓCIOS DIRETORES (Rateio),0,0.3,0.25,0,0,0,0,0,,,,,
EBITDA,-11952.78,-32742.91,143106.59,-379556.69,0,-38514.08,-14853.88,-585839.27,521970.18,732394.96,1154486.04,1045503.63,2351543.33
Deprec./Amortização,,,,,,,,,0,0,0,0,0
EBIT,0,0,0,0,0,0,0,0,521970.18,732394.96,1154486.04,1045503.63,2351543.33
Rec. Financeira,0,0,0,0,0,0,0,,,,,,
Desp. Financeira,,,,,0,0,0,0,,,,,
LAIR,0,0,0,0,0,0,0,0,521970.18,732394.96,1154486.04,1045503.63,2351543.33
IRPJ/CSLL,,,,,,,,,,,,,
LUCRO LÍQUIDO,-8008.36,-21937.75,95881.42,-379556.69,0,-38514.08,-14853.88,-587208.51,521970.18,732394.96,1154486.04,1045503.63,2351543.33
CAGR Projetado,,,,,,,,,0.367782,0.3161,0.3161,0.3161,0.3161
CAGR Low (Statista/KPMG),,,,,,,,,0.237,0.237,0.237,0.237,0.237
CAGR High (Grand View Research),,,,,,,,,0.286,0.286,0.286,0.286,0.286
N.º Funcionários,,,,,,,,,5,8,10,15,17
Total Horas,,,,,,,,,9600,15360,19200,28800,32640
Ociosidade %,,,,,,,,,0.15,0.15,0.15,0.15,0.15
Horas Alocadas,,,,,,,,,8160,13056,16320,24480,27744
Horas por Projeto,,,,,,,,,3840,3840,3840,3840,3840
Total Projetos,,,,,,,,,2,3,4,5,7
Ticket Médio (R$),,,,,,,,,1300000.0,1351610.0,1405268.92,1461058.09,1519062.1
Custo Médio/Func (R$),,,,,,,,,153654.72,161030.14,168276.5,175848.94,183762.15
Inflação Focus (%),,,,,,,,,0.0397,0.038,0.035,0.035,0.035
Reajuste Real TI (%),,,,,,,,,0.01,0.01,0.01,0.01,0.01
Incentivos % s/RL,,,,,,,,,0.0285,0.0285,0.0285,0.0285,0.0285
Outras Desp. Dir. % s/RL,,,,,,,,,0.0338,0.0338,0.0338,0.0338,0.0338
Rem. Sócios % s/MC I,,,,,,,,,0.1656,0.1656,0.1656,0.1656,0.1656
Outras Desp. ADM % s/RL,,,,,,,,,0.1277,0.1277,0.1277,0.1277,0.1277
