linha,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
FATURAMENTO BRUTO,12572568.795,13120312.12,9579555.22,13500779.15,17311108.13,24896165.29,24571136.45,22787020.44,22755016.76,24293001.68,26016090.96,27666117.18,30380019.39
AH FB,,0.043567,-0.269868,0.409333,0.28223,0.438161,-0.013055,-0.07261,-0.001404,0.067589,0.070929,0.063423,0.098095
(-) IMPOSTOS SOBRE VENDA,2440111.72,2295033.14,1632354.04,2337700.0,2990274.34,4312707.27,4255419.94,3969487.03,3966199.42,4234270.19,4534604.65,4822204.22,5295237.38
% s/FB,0.194082,0.174922,0.1704,0.173153,0.172737,0.173228,0.173188,0.174,0.1743,0.1743,0.1743,0.1743,0.1743
PIS/Cofins,-,-,-,-,-,-,-,-,0.0365,0.0365,0.0365,0.0365,0.0365
CSLL,-,-,-,-,-,-,-,-,0.0288,0.0288,0.0288,0.0288,0.0288
IR,-,-,-,-,-,-,-,-,0.08,0.08,0.08,0.08,0.08
ISS,-,-,-,-,-,-,-,-,0.029,0.029,0.029,0.029,0.029
RECEITA LÍQUIDA,10132457.07,10825278.98,7947201.18,11163079.15,14320833.79,20583458.02,20315716.51,18817533.41,18788817.34,20058731.49,21481486.3,22843912.96,25084782.01
AH RL,,0.068376,-0.265866,0.404655,0.282875,0.437309,-0.013008,-0.073745,-0.001526,0.067589,0.070929,0.063423,0.098095
RECLASSIFICAÇÃO DE RECEITAS E DESPESAS,-163954.42,-305659.67,553565.74,-110391.32,-57659.32,-71932.92,5870.64,827994.91,,,,,
INCENTIVOS DE PROSPECÇÃO E VENDAS,214990.93,224357.34,167709.19,354298.05,511965.25,710481.1,501201.67,495952.7,535754.43,571965.44,612534.63,651383.6,715280.94
Sócios - Prospecção e Vendas,214990.93,224357.34,167709.19,354298.05,500538.71,625326.04,482781.82,467936.72,,,,,
Equipe: Prospecção e vendas,0,0,0,0,11426.54,85155.06,18419.85,28015.98,,,,,
GASTOS COM PESSOAL,3284130.12,3580850.17,2846355.61,3836715.78,5804566.19,6674994.86,5938797.23,6800730.59,7001417.77,7496996.38,8001049.75,8535286.51,9283430.51
OUTRAS DESPESAS DIRETAS,433549.31,389295.39,18194.86,289667.71,461216.97,672356.5,775398.9,574061.17,634680.32,677577.62,725637.83,771660.17,847356.02
,,,,,,,,,,,,,
10 Entradas Operacionais,-303705.8,-401054.61,-347217.77,-592.2,-65827.24,-35040.28,-53240.73,-58677.04,,,,,
13c. Despesas com Projetos,737255.11,790350.0,170653.18,78788.28,198952.75,256708.42,372712.82,242303.97,,,,,
13b. Custos de Licenças,0,0,0,0,0,0,0,0,,,,,
13a. Profissionais sub-contratados,0,0,194759.45,211471.63,328091.46,450688.36,455926.81,390434.24,,,,,
MARGEM CONTRIBUIÇÃO I,6035832.3,6325116.41,5468507.26,6572006.28,7485426.06,12453692.65,13106189.35,11774783.85,10616964.83,11312192.05,12142264.09,12885582.68,14238714.55
% Margem s/RL (MC I),0.595693,0.584291,0.688105,0.588727,0.522695,0.605034,0.645126,0.625735,0.565068,0.563954,0.565243,0.564071,0.567624
